year,borough_code,percent_recycled
2012,314,13.296907119623292
2012,315,17.688288008028096
2012,316,9.230843735329652
2012,317,13.027642182026801
2012,318,15.971472651436615
2012,401,19.455023426627573
2012,402,18.824369535673274
2012,403,13.319010582275803
2012,404,12.452846343195745
2012,405,19.437553861338774
2012,406,19.802274672795892
2012,407,17.1835992388127
2012,408,18.188869374790823
2012,409,16.47928536201163
2012,410,16.730985196691638
2012,411,21.289394215075323
2012,412,13.558176089533099
2012,413,17.00950161065706
2012,414,11.212867611347654
2012,501,17.833925203349782
2012,502,18.908500697030803
2012,503,19.615580547652385
2013,101,29.312721488366588
2013,102,24.718487997361716
2013,103,15.761433893017921
2013,104,24.638027465861427
2013,105,22.432102404872335
2013,106,22.24970072119493
2013,107,24.293913565367458
2013,108,23.959728603968017
2013,109,15.440976440818675
2013,110,11.637352115270046
2013,111,12.273325804742656
2013,112,13.915717036767175
2013,201,8.582784446192536
2013,202,9.480664616342587
2013,203,9.072232205748298
2013,204,8.028114730840091
2013,205,10.209116834514244
2013,206,9.781072136301372
2013,207,11.628881511168876
2013,208,19.46782762074835
2013,209,9.13244494124725
2013,210,19.556132933547225
2013,211,15.398412010102895
2013,212,16.807126372506513
2013,301,14.846059130537254
2013,302,22.4325752558297
2013,303,10.341588317280133
2013,304,11.831598985175622
2013,305,10.926034432573152
2013,306,28.57029358603155
2013,307,18.417930456613902
2013,308,13.783567382740573
2013,309,11.122717109907507
2013,310,21.033790416674865
2013,311,18.11007380782836
2013,312,14.589179266518828
2013,313,12.384112064413344
2013,314,13.234682218673528
2013,315,17.695438156530777
2013,316,9.555873810688386
2013,317,13.180718028356551
2013,318,16.17676208316802
2013,401,19.866684951120032
2013,402,18.95931402834325
2013,403,13.540783367353006
2013,404,12.900426892113302
2013,405,19.960538111554584
2013,406,19.773627589027083
2013,407,17.65165099041342
2013,408,18.29131424456928
2013,409,16.8719520575231
2013,410,16.550215675766054
2013,411,22.082003767827704
2013,412,13.917506901706675
2013,413,17.63329855480298
2013,414,10.436769998604385
2013,501,19.139183878335942
2013,502,19.39817584973068
2013,503,20.22637397747928
2014,101,29.826129226887932
2014,102,25.847943889173877
2014,103,16.358381794056275
2014,104,25.1149445854651
2014,105,23.794573310096414
2014,106,23.401617805871776
2014,107,25.092308865234717
2014,108,25.212357675796103
2014,109,16.214240752260398
2014,110,12.831079027529862
2014,111,13.954737223196759
2014,112,14.786853841723747
2014,201,9.196014995126225
2014,202,10.509659729024493
2014,203,10.520060135975376
2014,204,9.087097609163175
2014,205,11.141486806373893
2014,206,10.557469999485226
2014,207,13.124772001239386
2014,208,20.42266387806383
2014,209,10.314702702705814
2014,210,21.112394851672192
2014,211,15.774179599356708
2014,212,17.265573518131326
2014,301,15.157602511293584
2014,302,23.127561336851688
2014,303,11.216975113238206
2014,304,12.682468059612171
2014,305,11.054639623238614
2014,306,31.050315842075353
2014,307,20.548798052181404
2014,308,14.503500214623744
2014,309,11.77584367021048
2014,310,22.855474462443908
2014,311,18.27084703986875
2014,312,14.889000760451358
2014,313,13.045515640961947
2014,314,13.585823595029419
2014,315,18.47341517175416
2014,316,9.863211647611235
2014,317,13.424467192554863
2014,318,16.641885546823023
2014,401,20.837966914020445
2014,402,19.647097760972958
2014,403,13.614241340076667
2014,404,13.154285999620155
2014,405,21.726957457252862
2014,406,20.46528079643747
2014,407,17.82702886788796
2014,408,18.32238107366541
2014,409,17.501615974031804
2014,410,17.116063423349328
2014,411,22.65161308148758
2014,412,14.439502198191628
2014,413,17.844488549092947
2014,414,11.532103568909603
2014,501,20.07623335223809
2014,502,20.16580510235637
2014,503,20.64280614689302
2015,101,31.119761867545886
2015,102,26.953408233151226
2015,103,17.599774293812647
2015,104,26.485394658580077
2015,105,24.910330818157362
2015,106,24.616532780697025
2015,107,26.926226942737856
2015,108,26.649698587563822
2015,109,17.666491226126343
2015,110,14.333695693124218
2015,111,14.984743099625208
2015,112,16.524018405903522
2015,201,10.380654467312617
2015,202,12.278207342267315
2015,203,11.93293389160081
2015,204,10.225762981002966
2015,205,12.102967445947295
2015,206,11.172010667266973
2015,207,14.210146957224849
2015,208,22.27925596498729
2015,209,11.04080507966163
2015,210,22.09890138629841
2015,211,15.986124841138555
2015,212,18.056225748481168
2015,301,15.880792993722155
2015,302,24.42944143025019
2015,303,12.52500294296008
2015,304,13.741079236435958
2015,305,11.365092947776423
2015,306,33.25970481233443
2015,307,21.296923595704225
2015,308,15.376907330357367
2015,309,12.356439179175071
2015,310,24.14367169643999
2015,311,18.340236776759966
2015,312,14.98628585143493
2015,313,13.992802969561225
2015,314,13.936026901371926
2015,315,18.728348710756926
2015,316,10.152388811291067
2015,317,13.726405075303076
2015,318,17.02634962569079
2015,401,21.60747207797337
2015,402,20.186213804985762
2015,403,14.04469501390659
2015,404,13.669762616498645
2015,405,23.127919477021454
2015,406,21.230754399663166
2015,407,18.18194556431828
2015,408,18.572559414339267
2015,409,18.14860773339562
2015,410,19.01942823464493
2015,411,23.06471502267946
2015,412,15.076239057714275
2015,413,18.487206965686315
2015,414,12.262649536193907
2015,501,20.874740254609776
2015,502,20.440524710233706
2015,503,20.568882922299533
2016,101,31.730125573738196
2016,102,28.104242851194055
2016,103,18.336158620522657
2016,104,27.415305954334617
