year,boro_cd,total_recycled,total_refuse,total_waste,pct_recycled_annum,pct_recycled_2009,pct_recycled_2018,pct_change,pct_point_change,poverty_rate
2017,106,11382.699999999999,33931.200000000004,45313.9,25.11966526827309,28.12157196816216,25.99267987093231,-10.674747141758933,-3.001906699889073,9.8
2018,106,12115.500000000002,34495.7,46611.2,25.99267987093231,28.12157196816216,25.99267987093231,-7.570316835915425,-2.1288920972298513,9.8
2009,318,13910.4,64147.399999999994,78057.79999999999,17.820640602220408,17.820640602220408,17.368569725522992,0.0,0.0,14.6
2010,318,13218.5,62408.9,75627.4,17.478453576349313,17.820640602220408,17.368569725522992,-1.920172419775179,-0.3421870258710946,14.6
2011,318,13381.800000000001,66500.8,79882.6,16.751833315390336,17.820640602220408,17.368569725522992,-5.9975806183808045,-1.0688072868300722,14.6
2012,318,12620.699999999999,68145.7,80766.4,15.626176231700311,17.820640602220408,17.368569725522992,-12.314172197865158,-2.1944643705200964,14.6
2013,318,12629.800000000001,65608.79999999999,78238.59999999999,16.14267126456762,17.820640602220408,17.368569725522992,-9.415875529433638,-1.6779693376527867,14.6
2014,318,12722.999999999998,64124.99999999999,76847.99999999999,16.556058713304186,17.820640602220408,17.368569725522992,-7.096164033287655,-1.2645818889162221,14.6
2015,318,13003.000000000002,63896.2,76899.2,16.909148599725356,17.820640602220408,17.368569725522992,-5.114810532576941,-0.9114920024950521,14.6
2016,318,13774.2,64761.600000000006,78535.8,17.538753027281825,17.820640602220408,17.368569725522992,-1.5818038264205914,-0.2818875749385832,14.6
2017,318,13851.099999999999,65058.8,78909.9,17.553057347683875,17.820640602220408,17.368569725522992,-1.5015355536836972,-0.2675832545365324,14.6
2018,318,13957.399999999998,66402.69999999998,80360.09999999998,17.368569725522992,17.820640602220408,17.368569725522992,-2.536782413091754,-0.45207087669741597,14.6
2009,502,13451.5,52194.50000000001,65646.0,20.49096670017975,20.49096670017975,20.31458503533633,0.0,0.0,14.9
2010,502,12934.600000000002,51386.49999999999,64321.09999999999,20.109419770495222,20.49096670017975,20.31458503533633,-1.862025034090664,-0.38154692968452864,14.9
2011,502,13094.7,54163.90000000001,67258.6,19.469183123050435,20.49096670017975,20.31458503533633,-4.9865074307126385,-1.021783577129316,14.9
2012,502,12062.800000000001,52835.700000000004,64898.50000000001,18.587178440179663,20.49096670017975,20.31458503533633,-9.290866008695364,-1.9037882600000877,14.9
2013,502,12505.400000000001,52337.1,64842.5,19.285807919188805,20.49096670017975,20.31458503533633,-5.881414960185227,-1.2051587809909456,14.9
2014,502,12654.3,50478.8,63133.100000000006,20.043843879042843,20.49096670017975,20.31458503533633,-2.1820484493441983,-0.44712282113690804,14.9
2015,502,12555.599999999999,49379.799999999996,61935.399999999994,20.272089951788477,20.49096670017975,20.31458503533633,-1.0681621399021402,-0.21887674839127413,14.9
2016,502,12949.8,49310.0,62259.8,20.799617088394115,20.49096670017975,20.31458503533633,1.5062753882258528,0.30865038821436386,14.9
2017,502,12946.6,49785.49999999999,62732.09999999999,20.6379190239128,20.49096670017975,20.31458503533633,0.7171566177585964,0.1469523237330499,14.9
2018,502,12955.200000000003,50817.7,63772.9,20.31458503533633,20.49096670017975,20.31458503533633,-0.8607776657109878,-0.17638166484342221,14.9
2009,503,18920.5,70029.0,88949.5,21.27105829712365,21.27105829712365,20.57200695901252,0.0,0.0,12.3
2010,503,18127.1,69164.5,87291.6,20.7661447378671,21.27105829712365,20.57200695901252,-2.3737115107470896,-0.504913559256547,12.3
2011,503,18185.5,72196.2,90381.7,20.120776661647213,21.27105829712365,20.57200695901252,-5.407731103026414,-1.1502816354764356,12.3
2012,503,16740.100000000002,69398.3,86138.40000000001,19.43395744522768,21.27105829712365,20.57200695901252,-8.636621771397191,-1.8371008518959684,12.3
2013,503,17358.6,68919.2,86277.79999999999,20.119428172716507,21.27105829712365,20.57200695901252,-5.4140706509316905,-1.1516301244071414,12.3
2014,503,17605.799999999996,68155.6,85761.4,20.528815994141883,21.27105829712365,20.57200695901252,-3.4894469876100787,-0.7422423029817651,12.3
2015,503,17131.6,66880.4,84012.0,20.391848783507115,21.27105829712365,20.57200695901252,-4.133360462537139,-0.8792095136165337,12.3
2016,503,17717.7,66822.2,84539.9,20.957796259517696,21.27105829712365,20.57200695901252,-1.4727148655707123,-0.31326203760595206,12.3
2017,503,17746.500000000004,67976.7,85723.2,20.702096981913886,21.27105829712365,20.57200695901252,-2.6748143287572024,-0.5689613152097621,12.3
2018,503,17926.2,69212.6,87138.8,20.57200695901252,21.27105829712365,20.57200695901252,-3.286396606818842,-0.6990513381111292,12.3
