place,BOROUGH,borough_code,total_waste,pct_recyc_2019,pct_recyc_2009,pct_change,pct_point_change,raw_recyc2019,raw_recyc2009,raw_refuse2019,raw_refuse2009,raw_waste2019,raw_waste2009,acres,borocd,cd_full_title,fp_100_rent_burden,neighborhoods,pct_bach_deg,pct_foreign_born,poverty_rate,under18_rate,population,Location,income
37,Manhattan,108,86173.20000000001,28.34117799965651,25.914333193860152,9.364874595234983,2.4268448057963568,24422.500000000007,23968.4,61750.69999999999,68522.5,86173.20000000001,92490.90000000001,1266.3,108,Manhattan Community District 8,0.473200613,"Carnegie Hill, Lenox Hill, Roosevelt Island, Upper East Side, Yorkville",81.1,23.2,7.2,14.8,214219.0,Upper East Side,131348.0
38,Queens,407,95659.2,20.982508739358053,18.688324081945627,12.27603206875456,2.2941846574124263,20071.699999999997,17938.100000000002,75587.5,78047.49999999999,95659.2,95985.6,7539.8,407,Queens Community District 7,0.495157179,"Auburndale, Bay Terrace, Beechhurst, Clearview, College Point, Downtown Flushing, East Flushing, Flushing, Malba, Murray Hill, Queensboro Hill, Waldheim, Whitestone",26.2,57.2,25.5,17.5,260282.0,Flushing,51284.0
39,Queens,412,96778.5,16.222301440919214,14.075742980715154,15.250054388922907,2.1465584602040604,15699.7,13063.500000000002,81078.8,79745.1,96778.5,92808.59999999999,6137.1,412,Queens Community District 12,0.502415459,"Hollis, Jamaica, Jamaica Center, North Springfield Gardens, Rochdale, South Jamaica, St. Albans",21.0,42.7,19.0,22.8,249331.0,Jamaica/St. Albans,61670.0
40,Brooklyn,310,50783.99999999999,24.13122243226214,22.191559861242016,8.740541823775882,1.939662571020122,12254.800000000001,11419.0,38529.2,40037.5,50783.99999999999,51456.50000000001,2548.9,310,Brooklyn Community District 10,0.437037037,"Bay Ridge, Dyker Heights, Fort Hamilton",40.5,39.4,19.0,19.6,123488.0,Bay Ridge,68679.0
41,Manhattan,105,21476.000000000004,26.956602719314578,25.068203880145195,7.533044043355064,1.8883988391693833,5789.2,5448.900000000001,15686.8,16287.4,21476.000000000004,21736.300000000003,1005.4,105,Manhattan Community District 5,0.0,"Flatiron, Gramercy Park, Herald Square, Midtown, Midtown South, Murray Hill, Times Square, Union Square",74.4,29.4,11.3,8.2,50851.464739999996,Midtown Business District,101981.0
42,Brooklyn,314,66724.4,15.603287552979122,13.880581410587729,12.410907666139682,1.7227061423913934,10411.2,9426.4,56313.19999999999,58484.299999999996,66724.4,67910.7,1886.6,314,Brooklyn Community District 14,0.0,"Ditmas Park, Flatbush, Manhattan Terrace, Midwood, Ocean Parkway, Prospect Park South",37.3,41.6,21.5,25.3,150707.0,Flatbush/Midwood,56599.0
43,Queens,408,54430.70000000001,20.689059666695446,19.076075129558628,8.455536719067936,1.6129845371368177,11261.2,9905.500000000002,43169.49999999999,42020.799999999996,54430.70000000001,51926.299999999996,4765.3,408,Queens Community District 8,0.0,"Briarwood, Fresh Meadows, Hillcrest, Holliswood, Jamaica, Jamaica Estates, Jamaica Hills, Kew Gardens Hills, Pomonok, Utopia",39.3,46.9,20.8,20.6,164291.0,Fresh Meadows/Briarwood,64005.0
44,Queens,410,56112.8,19.845382871644258,18.37835754042266,7.982352764630463,1.467025331221599,11135.8,10011.500000000002,44976.99999999999,44462.9,56112.8,54474.4,3934.7,410,Queens Community District 10,0.422424003,"Howard Beach, Lindenwood, Old Howard Beach, Ozone Park, South Ozone Park",21.3,45.0,17.3,20.9,139323.0,Howard Beach,73891.0
45,Manhattan,104,39757.1,28.73876615749137,27.363428244797095,5.026190067963365,1.375337912694274,11425.7,9478.5,28331.4,25160.8,39757.1,34639.3,1131.6,104,Manhattan Community District 4,0.423210211,"Chelsea, Clinton, Hudson Yards",74.4,29.4,11.3,8.2,101603.53526,Chelsea/Clinton,101981.0
46,Brooklyn,317,61516.79999999999,14.577968945068667,13.641767948990369,6.8627541501876,0.9362009960782984,8967.9,8410.300000000001,52548.899999999994,53240.8,61516.79999999999,61651.1,2153.2,317,Brooklyn Community District 17,0.0,"East Flatbush, Farragut, Flatbush, Northeast Flatbush, Remsen Village, Rugby, Erasmus",23.7,52.2,19.5,21.8,140087.0,East Flatbush,49349.0
47,Brooklyn,305,63179.50000000001,12.643499869419669,11.926626853069209,6.0106937626373425,0.7168730163504602,7988.1,7175.500000000001,55191.399999999994,52988.2,63179.50000000001,60163.70000000001,3569.3,305,Brooklyn Community District 5,0.55513308,"Broadway Junction, City Line, Cypress Hills, East New York, Highland Park, New Lots, Spring Creek, Starrett City",14.6,35.6,28.7,25.9,176471.0,East New York,36786.0
48,Queens,406,42593.7,21.61915964097977,20.90272124528852,3.4274886378860003,0.7164383956912488,9208.4,8884.2,33385.299999999996,33618.4,42593.7,42502.600000000006,1898.2,406,Queens Community District 6,0.0,"Forest Hills, Forest Hills Gardens, Rego Park",55.7,50.6,15.1,17.7,118922.0,Rego Park/Forest Hills,75447.0
49,Manhattan,103,43502.799999999996,17.892871263458904,17.31012129204822,3.3665273719276856,0.582749971410685,7783.9,7455.4,35718.899999999994,35614.2,43502.799999999996,43069.6,1076.9,103,Manhattan Community District 3,0.463410483,"Chinatown, East Village, Lower East Side, NoHo, Two Bridges",43.0,34.9,19.3,11.7,160490.0,Lower East Side,39584.0
50,Brooklyn,312,85452.5,15.812293379362806,15.254348686062505,3.657610723229898,0.5579446933003016,13512.000000000002,12301.0,71940.5,68338.29999999999,85452.5,80639.29999999999,2292.3,312,Brooklyn Community District 12,0.0,"Borough Park, Kensington, Ocean Parkway",28.7,29.1,27.2,36.3,146556.0,Borough Park,45364.0
51,Queens,403,68751.4,14.628065755751882,14.103982966233206,3.715849563725371,0.5240827895186762,10056.999999999998,9379.6,58694.399999999994,57123.600000000006,68751.4,66503.2,1905.3,403,Queens Community District 3,0.0,"East Elmhurst, Jackson Heights, North Corona",20.1,59.8,24.0,22.1,170222.0,Jackson Heights,56601.0
52,Brooklyn,315,67046.7,20.42113929544631,19.964588240092944,2.286804264946074,0.4565510553533656,13691.699999999999,13215.1,53355.0,52977.6,67046.7,66192.7,3022.2,315,Brooklyn Community District 15,0.529976941,"Gerritsen Beach, Gravesend, Homecrest, Kings Highway, Manhattan Beach, Plumb Beach, Sheepshead Bay",39.9,49.1,18.6,22.1,171030.0,Sheepshead Bay,61274.0
53,Brooklyn,311,72915.90000000001,19.21487631641384,19.1407939509565,0.38703914606237344,0.0740823654573397,14010.7,13674.699999999999,58905.19999999999,57768.0,72915.90000000001,71442.7,2368.6,311,Brooklyn Community District 11,0.527765237,"Bath Beach, Bensonhurst, Gravesend, Mapleton",29.5,55.8,22.5,20.9,205850.0,Bensonhurst,53493.0
54,Staten Island,502,63636.99999999999,20.230997690023102,20.490966700179754,-1.2687005643046145,-0.2599690101566523,12874.4,13451.500000000002,50762.6,52194.5,63636.99999999999,65646.0,13617.2,502,Staten Island Community District 2,0.56786486,"Arrochar, Bloomfield, Bulls Head, Chelsea, Concord, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, Heartland Village, Lighthouse Hill, Manor Heights, Midland Beach, New Dorp, New Dorp Beach, New Springville, Old Town, South Beach, Todt Hill, Travis, Willowbrook",32.7,28.0,14.9,21.1,143766.0,South Beach,81487.0
55,Brooklyn,318,79701.09999999999,17.418454701378028,17.820640602220408,-2.2568543399740015,-0.4021859008423796,13882.7,13910.4,65818.40000000001,64147.4,79701.09999999999,78057.79999999999,5410.5,318,Brooklyn Community District 18,0.508589915,"Bergen Beach, Canarsie, Flatlands, Georgetown, Marine Park, Mill Basin, Mill Island, Paerdegat Basin",31.1,40.2,14.6,22.9,215637.0,Canarsie,76647.0
56,Staten Island,503,86217.49999999999,20.588163655870336,21.27105829712365,-3.2104403632124745,-0.6828946412533128,17750.600000000002,18920.5,68466.9,70029.00000000001,86217.49999999999,88949.5,13750.9,503,Staten Island Community District 3,0.47100063700000006,"Annadale, Arden Heights, Bay Terrace, Butler Manor, Charleston, Eltingville, Fresh Kills, Great Kills, Greenridge, Huguenot, Oakwood, Oakwood Beach, Oakwood Heights, Pleasant Plains, Prince's Bay, Richmond Town, Richmond Valley, Rossville, Sandy Ground, Tottenville, Woodrow",33.4,15.6,12.3,21.5,159060.0,Tottenville,96796.0
57,Manhattan,101,24823.0,33.345284615074725,34.454362952423644,-3.2189779241612815,-1.1090783373489188,8277.3,7071.000000000001,16545.7,13451.799999999997,24823.0,20522.800000000003,976.3,101,Manhattan Community District 1,0.353231684,"Battery Park City, Civic Center, Ellis Island, Governors Island, Liberty Island, South Street Seaport, Tribeca, Wall Street, World Trade Center",82.3,23.9,8.8,12.8,60165.46615,Battery Park/Tribeca,144878.0
58,Manhattan,106,46916.1,26.71449672926778,28.12157196816216,-5.003544042585539,-1.4070752388943824,12533.4,14227.8,34382.700000000004,36366.1,46916.1,50593.90000000001,888.5,106,Manhattan Community District 6,0.408417025,"Beekman Place, Gramercy Park, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay",79.4,22.3,9.8,8.7,149674.0,Murray Hill/Stuyvesant,112383.0
